'3DRendering', '3-D / Rendering Options'
'3D_rendering_options_category', '3-D / Rendering Options'
'about', 'About'
'about', 'About ATAK'
'accounts', 'Accounts'
'accounts_category', 'Accounts'
'additionalDisplay', 'Additional Display Options'
'address_category', 'Address'
'adjust_toolbar_preferences_category', 'Adjust Toolbar Preferences'
'advanced_logging', 'Advanced Logging'
'advanced_network_settings', 'Advanced Network Settings'
'alt_display_agl', 'Display AGL'
'alt_display_pref', 'Altitude Display'
'alternateContactCategory', 'Contact Preferences'
'alt_unit_pref', 'Altitude Units'
'apiCertEnrollmentKeyLength', 'Certificate Enrollment Key Length'
'apiCertEnrollmentPort', 'Certificate Enrollment API port'
'apiSecureServerPort', 'Secure Server API port'
'apiUnsecureServerPort', 'Unsecure Server API port'
'app_logging_preferences_category', 'App Logging Preferences'
'appMgmtEnableUpdateServer', 'Update Server'
'atakAccounts', 'Accounts'
'atakAdjustCurvedDisplay', 'Adjust for Curved Display'
'atakBackButtonCenterSelf', 'Disable Back Button Center on Self'
'atakBluetoothReconnectSeconds', 'Bluetooth Reconnect Time'
'atakContinuousRender', 'Continuous Rendering'
'atakControlAskToQuit', 'Ask Before Quit'
'atakControlBluetooth', 'Bluetooth Support'
'atakControlOptions', 'Control Preferences'
'atakControlOtherUserNotification', 'Display Notifications for other users'
'atakControlQuitOnBack', 'Quit On Back Press'
'atakControlReverseOrientation', 'Reverse Landscape Orientation'
'atakControlShortenLabels', 'Shorten Long Marker Labels'
'atakControlShowLabels', 'Show Marker Labels'
'atakDeveloperTools', 'Developer Tools'
'atakDisableSoftkeyIllumination', 'Disable SoftKey Illumination'
'atakdocs', 'ATAK Documents'
'atakDoubleTapToZoom', 'Double tap to zoom 2X'
'atakExportCrashLogs', 'Send App Logs Now'
'atakForceAirplaneRadioList', 'Forced Airplane Mode'
'atakForcedBrightness', 'Forced Application Brightness'
'atakGlobeModeEnabled', 'Enable Globe Display Mode'
'atakLongPressMap', 'Action for Long pressing the Map'
'atakOffScrIndiOptions', 'Off-Screen Indicators Preferences'
'atakPluginScanningOnStartup', 'Plugin Loading'
'atakRoleTypeAction', 'My Role'
'atakScreenLock', 'Disable Screen Saver / Screen Lock'
'atakUpdateLocalPath', 'Local APK directory'
'atakUpdateServerUrl', 'Update Server URL'
'attachment_billboards_category', 'Attachment Billboards'
'audibleNotify', 'Audible Chat notifications'
'autoDisableMeshSAWhenStreaming', 'Auto Manage Mesh Network Self SA Mode'
'basic_display_settings', 'Basic Display Settings'
'basic_display_settings_category', 'Basic Display Settings'
'bluetoorh_preferences_category', 'Bluetooth Preferences'
'bluetooth', 'Bluetooth'
